"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K01676",507.515585147263,-0.760089206545259,0.446531426251885,-1.70220764286476,0.0887164505521381,0.171281812259509
"K10237",21.2831020969698,2.0540379701399,1.2074067795113,1.70119797651896,0.0889058176989054,0.171570817879769
"K15866",55.0805111533708,-1.55911624381701,0.916543448652936,-1.70108274311324,0.088927450896768,0.171570817879769
"K00713",16.3822154669102,-3.43531729564733,2.01998849498793,-1.70066181276337,0.0890065097686528,0.171581535298984
"K14138",55.5842284646469,2.07298934557748,1.21893538617215,1.7006556451588,0.0890076685850258,0.171581535298984
"K07276",6.02177421723773,3.94256501596858,2.31838734821418,1.70056354862593,0.0890249738267375,0.171581535298984
"K03932",17.2151739672364,2.40574386134765,1.41543372683663,1.69965136179444,0.0891965231563472,0.171852991430663
"K01597",100.397396079858,-0.743927693590911,0.437831816863849,-1.69911748058786,0.0892970503544618,0.171987471037138
"K13795",7.66150570541778,-2.25251750492263,1.32594622300101,-1.69880004622248,0.0893568649252043,0.172043471959535
"K05801",296.175009319969,-0.856041384452731,0.504118101687663,-1.69809689750659,0.0894894750584495,0.172239543295097
"K10210",4.36436043208564,-2.59107134451676,1.52680709667856,-1.69705220139035,0.0896867918234818,0.172492273725487
"K17074",34.7033585518155,-1.00193300581251,0.590473049541291,-1.69683105196904,0.0897286062660828,0.172492273725487
"K01002",206.800832315185,-0.853670141556664,0.503108558748577,-1.69679113326966,0.0897361556772988,0.172492273725487
"K13587",72.5245339141373,1.87122703694319,1.10283056494156,1.69674934339742,0.089744059511992,0.172492273725487
"K22604",8.95600071207659,1.65265770140575,0.976471785640116,1.69247870313259,0.0905547373750941,0.173990684891315
"K07051",5.99591668585047,3.88801186263753,2.29946005970988,1.69083687547418,0.0908679621753927,0.174532595846147
"K00158",66.2246509553084,-1.12280187476832,0.665260792717176,-1.68776198305986,0.0914569280765478,0.17560357682485
"K03183",303.9984710327,-0.654808131994233,0.388261286094383,-1.68651409616733,0.0916968223499142,0.176003811622932
"K20112",68.1612785792466,-0.987351684597839,0.585655730205923,-1.68589093160699,0.0918168089228067,0.176173698848457
"K05770",144.142700325688,0.96627572284256,0.57321527854729,1.6857117369436,0.0918513351174324,0.176179548544301
