"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K19142",0.191970295446013,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007967,NA
"K19076",0.191970295446013,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007967,NA
"K00376",0.217063287787356,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K18783",0.197044701690349,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K09740",0.20123899401797,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K25617",0.211745690477893,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K18575",0.223763957485749,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K16176",0.201551944803181,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K06986",0.195792898549505,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007968,NA
"K04029",250.929943101188,0.131742616277595,0.317218825117172,0.415305164278737,0.677918521179306,0.820594398549312
"K01921",2019.28422598272,-0.0529829003445806,0.128173127608139,-0.413369801715101,0.679335696136868,0.822107941629909
"K05837",288.087352307539,-0.167365506257777,0.405408706806375,-0.412831553560371,0.679730031712018,0.822383241607397
"K08968",366.25180602812,-0.158367020673314,0.384128646335044,-0.412275997076208,0.680137139755572,0.822425844928453
"K01489",1101.22047563031,0.077905487363662,0.189002171942648,0.412193609009436,0.680197521117888,0.822425844928453
"K03752",254.37017021415,0.168142168514539,0.40801259460617,0.412100436940767,0.68026580843443,0.822425844928453
"K01719",219.88111523505,-0.176553922807157,0.429195118930296,-0.41136050952115,0.680808206264986,0.822879756910278
"K05773",0.410629008842513,-1.23941341399913,3.01624697574824,-0.410912443166782,0.681136737978351,NA
"K03851",0.410629008842513,-1.23941341399913,3.01624697574824,-0.410912443166782,0.681136737978351,NA
"K02052",12.9466195668282,-0.263648038026885,0.641787049678959,-0.410802988559475,0.681217001603691,0.823172003163666
"K03220",0.730054733340763,-1.01578204141287,2.47397032954569,-0.410587802643292,0.681374809062167,NA
"K18234",202.27362147104,-0.309779910913151,0.754892675855759,-0.410362851331124,0.681539792919867,0.823196071284096
"K19123",108.515233074758,-0.359467997029394,0.876380849271888,-0.410173268080933,0.681678848950328,0.823196071284096
"K16907",23.7924168633642,-0.369842947451906,0.902595609008309,-0.409754871130224,0.681985774127969,0.823196071284096
"K01092",281.830700973528,0.189721277555269,0.463133593124098,0.409646979558299,0.682064929130065,0.823196071284096
"K00939",1495.28779093918,-0.0460109826253144,0.112321250511121,-0.40963737864331,0.682071973042047,0.823196071284096
"K01136",137.110741370934,-0.610825800231271,1.49638649173364,-0.408200557546866,0.68312643887147,0.824266883034878
"K00031",1177.07310254167,0.0717565908145492,0.175910304457485,0.407915790014972,0.683335499871971,0.824317346761856
"K00954",1453.19958092632,-0.0640478537947776,0.157217301611794,-0.40738425820923,0.683725786886802,0.824586347826045
"K25674",0.506404643922879,-1.22131060386477,2.99813621439562,-0.407356609749957,0.683746090590468,NA
"K12137",38.4499905845654,0.564679077327463,1.38915923684831,0.406489812218067,0.684382741061381,0.825087969353345
"K03625",1323.55396051767,-0.0495400258043942,0.121949397609041,-0.406234280576073,0.6845704682593,0.825087969353345
"K08722",319.2983364181,0.134673348964686,0.331598042576623,0.406134330342337,0.684643902344326,0.825087969353345
"K12503",1.3539765215151,-0.59393227212061,1.47077654807994,-0.403822234516844,0.686343444939998,NA
"K11003",1.9870247447147,0.672334872589069,1.66601423213817,0.403558901010223,0.686537113243997,NA
"K01810",1607.00840894381,0.0501288291849561,0.124435523762984,0.402849826713775,0.687058703360396,0.827775087331111
"K11249",70.4186414840509,-0.213335213600105,0.530047041042471,-0.402483547838562,0.687328193933235,0.827775087331111
"K02055",17.4112032716667,-0.302954662758354,0.753633125704984,-0.401992232593221,0.687689742705214,0.827775087331111
"K20509",1281.04240043675,0.117080093821695,0.291352555619646,0.401850238013841,0.687794246897738,0.827775087331111
"K09707",40.1817508102862,0.199844102618596,0.497331514832598,0.401832774836044,0.687807099738881,0.827775087331111
"K12141",40.1475125479198,0.504531432780843,1.25589055055044,0.401732008063691,0.687881265511916,0.827775087331111
"K00278",697.114283202907,0.0787195617633002,0.19630706333548,0.401002187215099,0.688418513583631,0.828174520720361
"K03980",644.418190789254,-0.178089435849174,0.444492640938373,-0.400657782484785,0.688672097249697,0.828174520720361
"K01799",7.3294386976894,0.547308542142028,1.36623411736257,0.40059645355554,0.688717257137911,0.828174520720361
"K25985",30.2245601874829,0.239890396749855,0.600322771538367,0.399602360801873,0.689449417351334,0.828247595292415
