featureid	rab.all	rab.win.M05	rab.win.M06	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
unclassified_Sphingobacteriales_NS11-12_marine_group	0.235797679109357	0.304692156110392	0.15938887666303	-0.0245996893581086	4.32604707841726	-0.00441230678812994	0.497306034547931	0.511392119389479	0.93360814331038	0.53689043701423	0.935477607125902
unclassified_Candidatus_Yanofskybacteria	0.0468133494929903	0.10990701352895	0.00172580057646687	-0.122714294314361	4.11867310422404	-0.0258871719366892	0.488960689550691	0.462932378917647	0.911308720166781	0.484535074565942	0.911829488007175
Xanthomonas	0.0362691208286128	-0.0189286128289039	0.0860223491038079	0.135831897463575	4.22993994893144	0.030451749868129	0.487607758920661	0.496926989817944	0.920779853283631	0.502464778675445	0.918393295199296
unclassified_Sphingomonadaceae	0.179417099780219	0.125908863645749	0.257437583742091	0.0401443617012651	4.17831172722329	0.00795421452577118	0.494612069095875	0.508040917013547	0.928377117110331	0.527751053296135	0.936307330419172
Larkinella	0.120076755928209	0.128611689983519	0.101165485083877	0.0139191866283861	4.01422379727344	0.00218382373633362	0.498115239679365	0.508629140633248	0.923942384155048	0.539223307999468	0.925772313769006
Chryseobacterium	0.0750962538865876	0.204756363966005	-0.0767902534443374	-0.390591266591962	4.29448776641894	-0.0696369232419429	0.462284483676237	0.488718971242558	0.925283698866066	0.488362430234867	0.925663361496226
Lachnospira	0.0854720356989871	0.206855180192984	-0.0449398298337531	-0.296221178615022	4.17727992944008	-0.0574086341374431	0.467133621488193	0.513943525973056	0.930824749564391	0.552535765242876	0.926582928664291
unclassified_Rhodobacteraceae	0.198454601447388	0.165789612682731	0.229065799494615	-0.0488790747358214	4.45891090717526	-0.00957440384382243	0.49434571903811	0.532596129840925	0.924208335090196	0.534041224557512	0.921300751439843
unclassified_Verrucomicrobiaceae	0.0931479875418617	0.140282727687878	0.0485168727507306	0.020419825123275	4.17806960468565	0.00498030157739338	0.497306034547931	0.528033904292329	0.931568599612299	0.537916156877117	0.929324582642623
Oscillospiraceae_NK4A214_group	0.136652024359681	0.234241959185196	0.0193574285958942	-0.260648240375182	4.39232967712921	-0.0476639894386167	0.473599138571496	0.494331760529069	0.921559614483423	0.497077439328362	0.921542156142519
unclassified_Parcubacteria	0.480998428955435	0.702025038403005	0.259818394863346	-0.529786199229343	4.16900964538028	-0.105347005831473	0.446957459562407	0.424415190027134	0.899347050999606	0.432092833430282	0.900890546802136
unclassified_Micavibrionales	0.116302792028324	0.107234609081337	0.123779115777356	-0.0182199579771307	4.22815178364716	-0.00345055961776519	0.498383620728758	0.50488713672701	0.927432379553324	0.515163923838772	0.918739084209939
Micrococcus	0.22222249124903	0.248939365613338	0.200330078113434	-0.125894792722685	4.20723309871066	-0.0242263890566509	0.484375000378362	0.536665134410559	0.93584094548007	0.533553594426703	0.926954494958826
Rheinheimera	0.11835913114871	0.167830217235624	0.0797022692829312	-0.115715867525918	4.09137044114902	-0.023651407740009	0.485729671858323	0.45575836571016	0.917515566077654	0.514493688217829	0.927813034673863
Sphingorhabdus	0.191747711941599	0.302872252307377	0.0825906845022226	-0.244596526398367	4.17242450631968	-0.0491747840148961	0.46982758693948	0.492379605437388	0.92994863912221	0.506607222510465	0.934028871852118
unclassified_Candidatus_Woesebacteria	0.244923562188614	0.254333444566663	0.235827633128651	-0.0503004589718126	4.28656307521562	-0.0119756552805229	0.493268713140615	0.522386962305454	0.927289004497726	0.550042061612388	0.94049566029304
Oscillospiraceae_UCG-002	0.0526104312826652	0.113546032653833	0.00569371413472197	-0.137210629602977	4.18373852058541	-0.0236580854749728	0.484652665960886	0.516418675879511	0.922842681048413	0.498094646678026	0.919724263698222
Burkholderia-Caballeronia-Paraburkholderia	0.245294426542774	0.205331524896136	0.285456281530835	0.0760047397424337	4.04849171153093	0.0164964914913447	0.488146552011052	0.528303262635538	0.933074959685119	0.516905380772732	0.93712045354137
Rubinisphaeraceae_SH-PL14	0.123424573788464	0.190100121421342	0.0735598738625125	-0.19933880465875	4.14217611400493	-0.0382256056517285	0.475754310932749	0.465574715828323	0.91346036049392	0.491845936309209	0.914653315318035
Gemmatimonas	0.080782836444846	0.0854895158788542	0.0722852651597954	-0.0135378327283924	4.13163068653548	-0.00305574988622617	0.498383620728758	0.503170281523716	0.922502101617993	0.506912253055278	0.927484934854361
unclassified_Babeliales	0.300528173196194	0.357461429364722	0.250531039952969	-0.134378483968047	4.09375933985825	-0.0276972878300293	0.483836207287987	0.527983368717505	0.930003160951012	0.548439664964407	0.92971159120019
Haliangium	0.106381463046603	0.145334846598324	0.0760159974978958	-0.160562757557933	4.25066942939652	-0.0266688372604612	0.48221982801688	0.508649648566395	0.930352388763213	0.518907363844366	0.937523568151905
unclassified_Lachnospiraceae	0.155235693697239	0.248726788806829	0.0636840670555605	-0.194071891089055	4.32734859030379	-0.0334738093956692	0.482758621107246	0.475152938592443	0.92079689592466	0.476835577347259	0.921590886449178
Leuconostoc	0.0956237566046356	0.113620300719433	0.0727544538495941	-0.119513329500698	4.21843481878512	-0.0237088200847295	0.486530172739885	0.539160733920107	0.925299554630319	0.537443000970018	0.926814926309762
unclassified_Alphaproteobacteria	0.134738202770521	0.0610261253861308	0.211504838949195	0.09517694201935	4.25453844879928	0.0208988260877498	0.489499192499426	0.48909854286727	0.921825635087264	0.491991081526778	0.924208512250796
unclassified_Sphingobacteriales_AKYH767	0.184348980542443	0.296737853933783	0.0893568864633805	-0.13249602605272	4.12681356029892	-0.0249030112969304	0.486530172739885	0.4716489148104	0.915399716126158	0.489023296816832	0.917640039189422
Methylobacterium-Methylorubrum	0.182589261854718	0.280900742005399	0.0778112035245657	-0.265222276632358	4.3314870817795	-0.0559506647128897	0.470905173120032	0.501078171098811	0.926926298652743	0.505150273934337	0.930781570519367
unclassified_Oligoflexia_0319-6G20	0.491691754765152	0.543048371487744	0.443968204475262	-0.0994921564214568	4.36884323534902	-0.0188320232936213	0.487068965830272	0.555516762648095	0.938984075456741	0.54934651901191	0.93052967042262
Catonella	0.165409412014646	0.0395445385477258	0.307634925101071	0.296948650799117	4.1395183771304	0.0633134770791754	0.466343565706632	0.491571110370474	0.929798431866052	0.487211566287643	0.924235584914565
Pajaroellobacter	0.00483965002287334	0.175788357720776	-0.189408659393217	-0.239318100113572	4.31311118087837	-0.0453510664208951	0.474959612884501	0.48568689840545	0.918571233019607	0.507453205977578	0.908775570423606
Paenarthrobacter	0.140846628409951	0.168463652539496	0.113293600196915	-0.167836555843417	4.15509317646902	-0.0332629233550898	0.481421648268638	0.490384875052827	0.924672386048745	0.513516720536346	0.930286915577829
Emticicia	-0.0153609973296813	0.0729713508735905	-0.0909402483815329	-0.250267394385548	4.3101599557735	-0.0451309630651979	0.471190092244027	0.487874742791113	0.92053657320718	0.460413044335495	0.918230614374072
unclassified_Woesearchaeales	0.1795029340088	0.184403116896134	0.177910049409076	0.0162537168109154	4.20771903675192	0.00405280083296336	0.496767241457519	0.506622956766468	0.925587235351098	0.506919880389245	0.927272300686424
Parvimonas	0.0803104746948629	0.0303851317767689	0.130542728274585	0.0727588217768877	4.18828206273327	0.0148130712318954	0.49299568982465	0.465847445533854	0.911036112745106	0.489443356351385	0.924551498624266
Sediminibacterium	0.0999180997317959	0.0820905180819249	0.117631409855981	0.0317747228344034	4.25932852389958	0.00582568609005897	0.496767241457519	0.506655617226048	0.924527927622337	0.492947204752829	0.919534334048742
Myxococcaceae_P3OB-42	0.155810325898708	0.072632150786669	0.246297589242219	0.338756040437567	4.21833380529288	0.073187883272803	0.466056035307716	0.465026346450459	0.919045014412005	0.509315345405197	0.924964328154669
Terrimicrobium	0.0736518952503635	0.0746831477402594	0.0724910862330415	-0.0333681065248008	4.17326870969055	-0.00767924911457267	0.495961227884358	0.492400092010722	0.921394381247688	0.490267100631701	0.920899118368703
Selenomonas	0.0661633670820603	0.0372153762150891	0.0939868179591254	0.0923814364835129	4.22728170709615	0.017796939210626	0.49273021019187	0.488139281314984	0.917216006830666	0.455799509431448	0.904368448255564
unclassified_Chlamydiaceae	0.0853701262209841	0.150391216392125	0.0222740475018179	-0.115568619967077	4.27697581080313	-0.0248038485503696	0.487068965830272	0.491550364060489	0.928321389045681	0.543978826743597	0.932728063281012
unclassified_Candidatus_Nomurabacteria	0.216602301727493	0.405756840101667	0.0513592877001132	-0.371920052396233	4.23991432635878	-0.0788558024004248	0.45880452442719	0.486608661499596	0.916076048761489	0.47168916611912	0.91257691793591
Prosthecobacter	0.0570392717577644	-0.0188241123390132	0.115986753224777	0.0845079353810165	4.25497595027656	0.0201572243703624	0.490301724372635	0.499674430313547	0.925211943215401	0.526429697063891	0.931732426354997
Bacillus	0.044131201180317	0.130723607750673	-0.00892169710835411	-0.105699785708135	4.11167833310445	-0.0200091756219358	0.488685345101445	0.500264781015002	0.914323257467891	0.497451244158694	0.923388146835448
Chitinivorax	0.0492572369476623	0.106082695486829	-0.0161988509538595	-0.153738678632577	4.23185601525744	-0.0272782042156765	0.488146552011052	0.509168155403206	0.93267097474896	0.532560161034296	0.940564887233138
unclassified_Myxococcota_bacteriap25	0.116881846418036	0.0663624391807289	0.169474934123062	0.221459431813614	4.37111773768625	0.0427464694266941	0.473599138571496	0.463361023237239	0.925071947743723	0.450770014884078	0.910933552617188
Parabacteroides	0.0306381268574523	-0.0611132413224418	0.131989733537393	0.160502451208819	4.44616320560264	0.0327005991803394	0.4859913796495	0.497496538074427	0.915388654186602	0.507864930637146	0.931336659444274
Deinococcus	0.0653185903320459	0.0992756801885406	0.0449970295823654	0.0039699771293451	4.20714140448622	0.00107849111486201	0.49919224557687	0.523676408183812	0.934774329036175	0.549027719408076	0.93767525190149
unclassified_Planctomycetota_OM190	0.0986053005843663	0.137031684248597	0.0570550664352272	-0.107780429590746	4.33907810674165	-0.0243318637130968	0.48680667775577	0.546499120260373	0.93377138156108	0.538751489246218	0.933972109040948
Nocardioides	0.0190333129460774	0.042618149695107	0.0028096995056428	-0.107341991635891	4.16645098646145	-0.0229659575511681	0.48680667775577	0.473759832705885	0.91898971143645	0.473388572450275	0.91111868499225
Brachybacterium	0.0642499528665912	0.0755208903162403	0.0452645141617563	-0.0329110192721611	4.04354134734304	-0.00835164303832267	0.496228448367107	0.509283697570161	0.924291080033831	0.500634121609264	0.917058085328363
